Event Type,Title,Description,Date,Time,Event URL
Tegnefilm/Animation Mission: Bæver,Mission: Bæver,"Animationsfilmen 'Mission: Bæver' er Disney og Pixars nyeste eventyr, der stiller spørgsmålet: Hvad hvis du kunne tale med dyr og forstå, hvad de siger?",Tir. 5. maj 2026,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907187
Tegnefilm/Animation Super Mario Galaxy Filmen,Super Mario Galaxy Filmen,Here we go. Again! Animationsfilmen 'Super Mario Galaxy Filmen' (The Super Mario Galaxy Movie) er fortsættelsen til Super Mario Bros. Filmen fra 2023 og denne gang bliver eventyret endnu større!,Tir. 5. maj 2026,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906488
Action/Drama Affektionsværdi,Affektionsværdi,"Det norske drama 'Affektionsværdi' følger søstrene Nora (Renate Reinsve) og Agnes (Inga Ibsdotter Lilleaas), som genforenes med deres far Gustav (Stellan Skarsgård) - en førhen ganske feteret instruktør, som drømmer om det store comeback.",Tir. 5. maj 2026,12.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888008
Komedie/Romantik The Devil Wears Prada 2,The Devil Wears Prada 2,"""A sequel? For spring? Groundbreaking."". Filmen 'The Devil Wears Prada 2' er fortsættelsen til den elskede film fra 2006, The Devil Wears Prada.",Tir. 5. maj 2026,12.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19871443
Action/Drama Michael,Michael,"Filmen 'Michael' skildrer en af de mest indflydelsesrige kunstnere nogensinde, Michael Jackson.",Tir. 5. maj 2026,12.40,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888247
Danseundervisning Let's Dance,Let's Dance,"Ved brug af skøn musik til mange forskellige dansearter, sammen med enkelte dansetrin kommer forbrændingen i vejret og kroppen fyldes med energi - samtidig med at det er sjovt og nemt at lære- Alle kan være med - unge som ældre, mænd og kvinder, hvis bare.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19829944
Andet motionstilbud Kom og spil kegler (For alle niveauer - 55+ år),Kom og spil kegler (For alle niveauer - 55+ år),"HUSK indendørssko! Hvordan spiller man kegler?. Man starter med at indtage en ""startstilling"". Denne afhænger af hvilken teknik man bruger. Kaster man med to hænder, stiller man sig med spredte ben hen over linoleumsstykket.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830167
Action/Drama De Forbandede År 3 - Fredens pris - Dk. tekster,De Forbandede År 3 - Fredens pris - Dk. tekster,"Året er 1945. Krigen er endelig slut. Danmark er frit, men splittet. Meget har ændret sig for familien Skov, Karl og Evas ægteskab er tyndslidt, og Eva beslutter at forlade sin mand.",Tir. 5. maj 2026,13.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890792
"Andre Film Ilden, Vandet, Jorden, Luften","Ilden, Vandet, Jorden, Luften","Klimaforandringerne er her nu - også i Danmark og i hele Norden. Skovbrande breder sig i Sverige, havene stiger i Danmark, stormene bliver voldsommere på Færøerne, og landskabet skrider i Norge. Naturen giver os tydelige tegn.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890813
Action/Drama De forbandede år 3 - Fredens pris,De forbandede år 3 - Fredens pris,"Året er 1945. Krigen er endelig slut. Danmark er frit, men splittet. Meget har ændret sig for familien Skov. Karl og Evas ægteskab er tyndslidt, og Eva beslutter at forlade sin mand.",Tir. 5. maj 2026,14.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906557
Action/Drama The Drama,The Drama,"Filmen 'The Drama' handler om et lykkeligt par, hvis forhold bliver sat på prøve, da en uventet indrømmelse kommer på bordet. Emma og Charlie elsker hinanden og glæder sig til både bryllup og et liv sammen.",Tir. 5. maj 2026,14.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906085
Action/Drama Franz,Franz,"Filmen skildrer det gådefulde liv for Franz Kafka, fra hans ungdom i Prag til hans død i 1924. I stedet for at være en traditionel biografi er Franz sat op som en kalejdoskopisk mosaik af drømme, breve, fragmenter fra hans fiktion og historiske episoder.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890562
Lyrik/oplæsning Readathonmakkere: Læseklub for unge,Readathonmakkere: Læseklub for unge,Er du vild med YA-bøger? Mød andre unge og del din læseglæde!,Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19336085
"Kampsporttræning, Børn Ninja kids - 4 til 7 år",Ninja kids - 4 til 7 år,"Er for børn i alderen 4 til ca. 7 år. Her bliver hovedsageligt trænet motorik, leget og ""tumlet"" på madrassen og der sluttes altid af med at ""bryde/slås for sjov"".",Tir. 5. maj 2026,16.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19829871
Andet motionstilbud Bowling for ungdom (5-18 år),Bowling for ungdom (5-18 år),"Til vores træninger er timen delt op i 3 sektioner opvarmning/træningsøvelser/bowling & leg. Vi starter med en fælles opvarmning, for at få kroppen igang og klar til træningen.",Tir. 5. maj 2026,16.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830145
Workshop Linocut workshop,Linocut workshop,"Learn the basics of linoleum cutting and Printing.

  Arrangeret af Nicolai Kultur.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19813111
Science Fiction Project Hail Mary,Project Hail Mary,I science fiction-filmen 'Project Hail Mary' skal Ryan Gosling redde jordens fremtid ved hjælp af en unik portion videnskab og humor!,Tir. 5. maj 2026,21.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906280
"Kampsporttræning, Børn Begynderhold",Begynderhold,"Som nybegynder eller let øvet, går meget af træningen ud på at indøve de helt basale teknikker som stød, parader, spark og stillinger, samt de grundlæggende japanske termer, der bruges.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830405
"Andet motionstilbud, Børn Realistisk selvforsvar for alle (9+ år)",Realistisk selvforsvar for alle (9+ år),Vi træner selvforsvar på mix hold tirsdage og torsdage fra kl 18:30 til 20:00 kom ned i klubben og prøv om det er noget for dig.,Tir. 5. maj 2026,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830020
Ketchersport Tennistræning for seniorer,Tennistræning for seniorer,"Niveau Beskrivelse. 1 Begynder. Har ikke tidligere modtaget træning og spillere som har spillet 1-2 sæsoner. Ønsker at lære de grundlæggende principper og teknik, og møde andre nystartede. 2 Let øvet.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19908034
"Ketchersport, Børn Prøv squash med koldings bedste",Prøv squash med koldings bedste,"Om tirsdagen er der altid fælles træning, og der er mulighed for at komme forbi og prøve det.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830321
"Ketchersport, Børn Tennis 5-8 årige",Tennis 5-8 årige,Udendørstræning: 1. Maj 2022 - 16. September 2022.,Tir. 5. maj 2026,17.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19829966
"Kampsporttræning, Børn Begynder brydning - 7 til 13 år",Begynder brydning - 7 til 13 år,"Træningen består af kampleg, akrobatik, koordinationsøvelser samt bryde relaterede øvelser. Her læres at slå de mest basale brydegreb, og under træning får de også mulighed for at bryde rigtigt.",Tir. 5. maj 2026,17.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830238
Fodboldtræning Fodbold alle tirsdage kl. 18.00,Fodbold alle tirsdage kl. 18.00,"Vi er en flok gamle gutter, der spiller fodbold for sjov, vores ældste mand er 87 år -yngste 38. Vi hedder KIF Oldboys, men langt de fleste har tidligere spillet i andre klubber, flere har aldrig spillet fodbold i en klub før KIF Oldboys.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19829977
Foredrag Aflyst: Folkeuniversitet: Aktuelle danske bestsellere - med kant,Aflyst: Folkeuniversitet: Aktuelle danske bestsellere - med kant,Grav et spadestik dybere ned i dansk litteraturs aktuelle bestsellere sammen med eksperterne.,Tir. 5. maj 2026,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19915719
Andet motionstilbud Krolf for alle - aften,Krolf for alle - aften,"Til træning der spiller vi 2-3 runder, vi har i alt 4 forskellige baner man kan komme og prøve. Det man får ud af det er: at møde nye mennesker, hyggeligt socialt samvær, venskaber for alle aldersgrupper. Man skal huske varmt tøj til tider.",Tir. 5. maj 2026,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830247
Andre Film Father Mother Sister Brother,Father Mother Sister Brother,"Er den nye, længeventede film fra manuskriptforfatter / instruktør Jim Jarmusch.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890557
Gudstjeneste Befrielsesgudstjeneste,Befrielsesgudstjeneste,,Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19640455
Show/stand up Prøverummet,Prøverummet,"Velkommen til. Prøverummet - vores helt nye stand-up koncept, hvor komikere tester spritnyt materiale foran publikum for første gang. Her er der ingen gamle klassikere eller sikre punchlines -kun rå, friske jokes der bliver prøvet af live.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19616876
Andet motionstilbud Kegler for hele familien,Kegler for hele familien,"De fleste har prøvet bowling eller set spillet. Man kan godt sammenligne at spille bowling med kegler. Forskellen på disse 2 spil er, at kuglen er mindre i kegler, og uden huller til fingrene.",Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830513
Andet boldspil Seniortræning Bowling,Seniortræning Bowling,"Til vores bowlingtræninger er den sociale hygge i højsædet. Alle fra begyndere til øvede kan være med, og der mulighed for træningsøvelser eller en dyst mod andre bowlingspillere fra klubben.",Tir. 5. maj 2026,19.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830032
"Andet motionstilbud, Børn Grappling og Brazilian jiu-jitsu",Grappling og Brazilian jiu-jitsu,Grappling og BJJ for alle niveauer.,Tir. 5. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19830431
Jazz Jazzkonkurrencen 2026,Jazzkonkurrencen 2026,Oplev morgendagens jazzstjerner!,Tir. 5. maj 2026,20:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19334256
Møder Pub Quiz,Pub Quiz,,Tir. 5. maj 2026,20:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19886398
Thriller/Gyser Whistle,Whistle,En gruppe utilpassede og intetanende gymnasieelever falder over en forbandet genstand - en ældgammel aztekisk dødsfløjte.,Tir. 5. maj 2026,21.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19906793
Ekskursion Guidet tur i Christiansfeld - Verdensarv i særklasse,Guidet tur i Christiansfeld - Verdensarv i særklasse,Velkommen til UNESCO-byen Christiansfeld - en by med en enestående historie. Tag med os på en historisk byvandring gennem de smukke gader i Christiansfeld. Vores guide fortæller dig historier om Brødremenigheden og byens historie - fra grundlæggelsen og.,Ons. 6. maj 2026 13:30 - 15:00,13:30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19862190
Møder Pubquiz På Knuds garage,Pubquiz På Knuds garage,"Hver Onsdag kl 20, kan du komme på Knuds Garage og få din paratviden udfordret.",Ons. 6. maj 2026 20:00 - 23:00,20:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19531948
Ketchersport Pickleball,Pickleball,"Er en ketsjersport, der spilles med en let bold og et paddle (hårdt bat). Pickleball spilles på en bane i badmintonstørrelse, med tennis-lignende net. Der er elementer fra andre ketsjer/ bat spil - som tennis, squash, badminton og bordtennis.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831278
Gymnastik/aerobic Vandgymnastik,Vandgymnastik,"Træning i vand til god musik. Vi træner kroppens center, med fokus på ryg og mave, og bruger vandets modstand til at styrke alle kroppens muskler.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831411
Gymnastik/aerobic Motionsgymnastik i Arena Syd VAMDRUP,Motionsgymnastik i Arena Syd VAMDRUP,"Har du lyst til at få rørt hele kroppen og få sved på panden, så er disse timer noget for dig. En gymnastiktime med højt humør og dejlig inspirerende musik. Men pas på, - du bliver hurtig afhængig !!!",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831580
Gudstjeneste Gudstjeneste: Morgenandagt ved Henriette Bacher Lind,Gudstjeneste: Morgenandagt ved Henriette Bacher Lind,,Ons. 6. maj 2026,09.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19643365
Baby/barsel Babysalmesang,Babysalmesang,"Sammen vil vi synge, nynne, danse, vugge, og lytte os igennem velkendte sange og salmer i en afslappet og rolig atmosfære. Vi vil puste sæbebobler og spille på rasleæg, og meget mere. Vi vil bruge vores krop og vores stemme.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19692250
Baby/barsel Babytræf ved Sundhedsplejen,Babytræf ved Sundhedsplejen,Sundhedsplejen inviterer alle forældre med børn under 1 år til Babytræf. Onsdage i ulige uger taler vi om barnets kost og onsdage i lige uger taler vi om barnets søvn. Arrangementet starter præcis klokken 10.,Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19642437
Andet boldspil Petanque,Petanque,"Kolding KFUM Senioridræt er er forening for senior der kan være aktive om dagen. Alle kan deltage og der lægges stor vægt på det sociale, så der er altid kaffepause. Der er kugle at spille med, så sørg for påklædning der passer til vejret.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831193
Andet motionstilbud Krolf,Krolf,"Vi spiller krolf fra april til og med juni måned og igen fra august til oktober. Der er køller og bolde til udlån - og vi opfordrer ALLE der har lyst, til at komme og prøve.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831343
Danseundervisning Let's dance i arena syd vamdrup,Let's dance i arena syd vamdrup,"Ved brug af den skønne musik sammen med enkelte dansetrin kommer forbrændingen i vejret og kroppen fyldes med energi - samtidig med at det er sjovt og nemt at lære- Alle kan være med - unge som ældre, mænd og kvinder.",Ons. 6. maj 2026,10.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831571
Andet motionstilbud Funktionel / balancetræning,Funktionel / balancetræning,"Funktionel træning fokuserer på naturlige bevægelser, som den menneskelige krop allerede er skabt til at lave. Bevægelser som at løfte, trække, rotere eller skubbe, er bevægelser som vi allerede laver, eller kan få brug for i dagligdagen.",Ons. 6. maj 2026,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831463
Andet motionstilbud Vandgymnastik i Kongeåbadet VAMDRUP,Vandgymnastik i Kongeåbadet VAMDRUP,"Træning i vand til god musik. Vi træner kroppens center, med fokus på ryg og mave, og bruger vandets modstand til at styrke alle kroppens muskler.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831281
Tegnefilm/Animation Super Mario Galaxy Filmen,Super Mario Galaxy Filmen,Here we go. Again! Animationsfilmen 'Super Mario Galaxy Filmen' (The Super Mario Galaxy Movie) er fortsættelsen til Super Mario Bros. Filmen fra 2023 og denne gang bliver eventyret endnu større!,Ons. 6. maj 2026,11.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19920850
Action/Drama The Drama,The Drama,"Filmen 'The Drama' handler om et lykkeligt par, hvis forhold bliver sat på prøve, da en uventet indrømmelse kommer på bordet. Emma og Charlie elsker hinanden og glæder sig til både bryllup og et liv sammen.",Ons. 6. maj 2026,11.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907046
Action/Drama Affektionsværdi,Affektionsværdi,"Det norske drama 'Affektionsværdi' følger søstrene Nora (Renate Reinsve) og Agnes (Inga Ibsdotter Lilleaas), som genforenes med deres far Gustav (Stellan Skarsgård) - en førhen ganske feteret instruktør, som drømmer om det store comeback.",Ons. 6. maj 2026,12.15,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888168
Komedie/Romantik The Devil Wears Prada 2,The Devil Wears Prada 2,"""A sequel? For spring? Groundbreaking."". Filmen 'The Devil Wears Prada 2' er fortsættelsen til den elskede film fra 2006, The Devil Wears Prada.",Ons. 6. maj 2026,12.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19870556
Action/Drama Michael,Michael,"Filmen 'Michael' skildrer en af de mest indflydelsesrige kunstnere nogensinde, Michael Jackson.",Ons. 6. maj 2026,12.40,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19888198
Andet motionstilbud Kom og spil kegler (For alle niveauer - 55+ år),Kom og spil kegler (For alle niveauer - 55+ år),"HUSK indendørssko! Hvordan spiller man kegler?. Man starter med at indtage en ""startstilling"". Denne afhænger af hvilken teknik man bruger. Kaster man med to hænder, stiller man sig med spredte ben hen over linoleumsstykket.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831827
Science Fiction Project Hail Mary,Project Hail Mary,I science fiction-filmen 'Project Hail Mary' skal Ryan Gosling redde jordens fremtid ved hjælp af en unik portion videnskab og humor!,Ons. 6. maj 2026,13.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907320
Andre Film En kage til præsidenten,En kage til præsidenten,"Iraks officielle Oscar-kandidat 2026! Vinder af Camera D'Or på Cannes Film Festival. Irak, 1990'erne.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890849
Action/Drama De forbandede år 3 - Fredens pris,De forbandede år 3 - Fredens pris,"Året er 1945. Krigen er endelig slut. Danmark er frit, men splittet. Meget har ændret sig for familien Skov. Karl og Evas ægteskab er tyndslidt, og Eva beslutter at forlade sin mand.",Ons. 6. maj 2026,14.20,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19920891
Skydning Bueskydning,Bueskydning,Vi skyder med bue og pile mod en skive. Det kræver stor koncentration når man skyder. Man kommer til hallen (hal 2 i Pulzion) og bliver mødt af en der tager sig af dig. Du vil blive introduceret for alle så i ved hvem i er.,Ons. 6. maj 2026,14.20,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831679
Andet Gigt Café i Kolding - Oplæg om fremtidsfuldmagt og arv,Gigt Café i Kolding - Oplæg om fremtidsfuldmagt og arv,"Velkommen igen til caféen i kolding ! Denne gang får vi besøg af advokat Charlotte Szocska, som fortæller om fremtidsfuldmagt og testamente.",Ons. 6. maj 2026,15.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19791756
"Ketchersport, Børn Tennistræning for juniorer mellem 7 og 17 år",Tennistræning for juniorer mellem 7 og 17 år,"Gå til tennis hos KIF Tennis og få gratis træning. Nu starter vi igen hold for juniorer - et for 7-11 årige og et for 12-15 årige. Vi har et super godt trænerteam, og et godt fællesskab.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19908359
Natur Smag på tang fra Lillebælt / Taste seaweed from Little Belt,Smag på tang fra Lillebælt / Taste seaweed from Little Belt,"Smag på, og lær om tang fra Naturpark Lillebælt/ Taste and learn about seaweed from Naturpark Lillebælt.",Ons. 6. maj 2026,16.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19641134
Komedie/Romantik Klassefesten 4 - Venner for livet,Klassefesten 4 - Venner for livet,"I den danske komedie 'Klassefesten 4 - Venner for livet' er kammeraterne tilbage for fjerde gang! Men, intet er som det plejer!",Ons. 6. maj 2026,16.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19920892
"Andre Film Ilden, Vandet, Jorden, Luften","Ilden, Vandet, Jorden, Luften","Klimaforandringerne er her nu - også i Danmark og i hele Norden. Skovbrande breder sig i Sverige, havene stiger i Danmark, stormene bliver voldsommere på Færøerne, og landskabet skrider i Norge. Naturen giver os tydelige tegn.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890683
"Danseundervisning, Børn Linedance/ Absolut Begynder",Linedance/ Absolut Begynder,For dem der aldrig har prøvet før.,Ons. 6. maj 2026,17.55,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831187
Løbetræning/jogging Løbetræning,Løbetræning,"Vi løber mandag og onsdag klokken 17 samt lørdag klokken 10 fra Bøgelund, Bramdrup. Skovvej 40. Kom i god tid - vi starter præcis. Du kan deltage 3-4 gange før du melder dig ind i klubben. Lavt kontingent - 300 kroner for et kalenderår.",Ons. 6. maj 2026,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19919332
"Andet motionstilbud, Børn Boccia for voksne med særlige behov",Boccia for voksne med særlige behov,"Boccia er en sport, der minder meget om petanque. Det spilles indendørs, og går ud på at kaste bolde tættest på en hvid bold. Det er en forholdsvis rolig/stille sport, hvor der er mulighed for at sidde ned hvis man har behov for det.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831414
"Andet motionstilbud, Børn Hockey for voksne med særlige behov",Hockey for voksne med særlige behov,"Til hockey er der plads til alle uanset niveau. Efter en god opvarmning, træner vi med hockeystave og puck, hvor vi øver i at skyde til hinanden samt at skyde på mål. Hvis du ikke har prøvet at spille hockey før, skal du nok blive sat ind i reglerne.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831618
Andet Brætspilsklubben,Brætspilsklubben,"Elsker du brætspil, og mangler du et hyggeligt fællesskab at spille sammen med?",Ons. 6. maj 2026,20.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19336008
Foredrag Galla 2026: Historien Går Gennem Kolding - Forestilling 1,Galla 2026: Historien Går Gennem Kolding - Forestilling 1,"""Historien Går Gennem Kolding"" starter i Sankt Nicolai Kirke (kl. 18.00) og slutter i Koldinghus (kl. 19.30). Billetten giver adgang til begge steder, ligesom billetholdere vil modtage et program.

  Arrangeret af Kulturskolen Kolding.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19809085
Gymnastik/aerobic Motionsmix,Motionsmix,Sjov motionsgymnastik for både damer og herrer. Alle kan deltage uanset alder og skavanker.,Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831413
"Danseundervisning, Børn Linedance / Begynder",Linedance / Begynder,For dem der kender lidt til grundtrin.,Ons. 6. maj 2026,18.05,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831190
"Kampsporttræning, Børn Karate unge (13+) og voksne",Karate unge (13+) og voksne,"Hvad er karate?. Karate er først og fremmest selvforsvar! Når vi træner, så passer vi godt på hinanden. Men når man først er lidt øvet, så går vi tæt på hinanden - og man kan godt få et blåt mærke med hjem.",Ons. 6. maj 2026,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831533
Andet motionstilbud Krolf for alle - aften,Krolf for alle - aften,"Til træning der spiller vi 2-3 runder, vi har i alt 4 forskellige baner man kan komme og prøve. Det man får ud af det er: at møde nye mennesker, hyggeligt socialt samvær, venskaber for alle aldersgrupper. Man skal huske varmt tøj til tider.",Ons. 6. maj 2026,18.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19831195
Musik Toner Fra Badehotellet // Væveriet Kolding,Toner Fra Badehotellet // Væveriet Kolding,"Toner fra Badehotellet tager på Danmarksturné. Til maj 2026 kan publikum over hele landet glæde sig til at opleve Toner fra Badehotellet ? et nyt, swingende musikalsk show med Jens Jacob Tychsen, kendt og elsket som den dameglade og charmerende Hr.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19131576
Action/Drama Franz,Franz,"Filmen skildrer det gådefulde liv for Franz Kafka, fra hans ungdom i Prag til hans død i 1924. I stedet for at være en traditionel biografi er Franz sat op som en kalejdoskopisk mosaik af drømme, breve, fragmenter fra hans fiktion og historiske episoder.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890713
Action/Drama Vægtløs,Vægtløs,"Den 15-årige Lea skal tilbringe sommeren på en sundhedskoloni, hvor hun bliver venner med den spontane og selvsikre Sasha, som Lea både beundrer og spejler sig i.",Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19910204
Lyrik/oplæsning DR Romanklub - Aftenholdet,DR Romanklub - Aftenholdet,"DR Romanklubben er for dig, der er interesseret i ny litteratur og gerne vil diskutere den med andre.",Ons. 6. maj 2026,20.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18931155
Andet motionstilbud Gratis badminton Spilfællesskab,Gratis badminton Spilfællesskab,Kolding KFUM Badminton inviterer hver onsdag i maj fra 19.00 - 21.00 til gratis åben spilfællesskab! Alle er velkomne til at komme og spille med. Spilfællesskabet er gratis.,Ons. 6. maj 2026,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19916034
Skuespil Kvinde Kend Din Krop,Kvinde Kend Din Krop,,Ons. 6. maj 2026,19.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=18740583
Show/stand up Det store 90'er Quiz Show,Det store 90'er Quiz Show,Vi skal på en tidsrejse til et af de mest farverige og uforglemmelige årtier i musikkens historie. Et årti også kendt som ''Det Glade Årti''.,Ons. 6. maj 2026,19.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19625448
Action/Drama De Forbandede År 3 - Fredens pris - Dk. tekster,De Forbandede År 3 - Fredens pris - Dk. tekster,"Året er 1945. Krigen er endelig slut. Danmark er frit, men splittet. Meget har ændret sig for familien Skov, Karl og Evas ægteskab er tyndslidt, og Eva beslutter at forlade sin mand.",Ons. 6. maj 2026,19.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19890456
Øvrige sportsturneringer Mos Mosh Gallery KIF Padel Masters 2026,Mos Mosh Gallery KIF Padel Masters 2026,,Ons. 6. til søn. 10. maj 2026 10:00 - 20.00,10:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19876483
"Andet Nyt plejehjem, nye muligheder - Åbent hus på Dorotheas Have, Koldings kommende plejehjem","Nyt plejehjem, nye muligheder - Åbent hus på Dorotheas Have, Koldings kommende plejehjem","Er du nysgerrig på byggeriet af det nye plejehjem - og på hvordan Kolding Kommune arbejder med at skabe demensvenlige lokalsamfund? Så kig forbi til en uformel snak, og hør om visionerne bag, jobmuligheder og samarbejdet med bydelen.",Tor. 7. maj 2026 09:00 - 15.00,09:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19859653
Workshop Craft Salon,Craft Salon,Kom forbi Garn og Craft til et par timers hyggeligt samvær omkring Craft/håndarbejde. Alle er velkomne og du behøver ikke melde dig til.,Tor. 7. maj 2026 14:00 - 20:00,14:00,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19869228
