Title,Description,Date,Time
Realistisk selvforsvar for alle (9+ år),Vi træner selvforsvar på mix hold tirsdage og torsdage fra kl 18:30 til 20:00 kom ned i klubben og prøv om det er noget for dig.,Tir. 28. apr. 2026,18.30
Lytteklubben Musik uden grænser,"En rocklytteklub, hvor man graver god musik frem for hinanden og i fællesskab lytter koncentreret.",Tir. 28. apr. 2026,See description
Tennistræning for seniorer,"Niveau Beskrivelse. 1 Begynder. Har ikke tidligere modtaget træning og spillere som har spillet 1-2 sæsoner. Ønsker at lære de grundlæggende principper og teknik, og møde andre nystartede. 2 Let øvet.",Tir. 28. apr. 2026,See description
Prøv squash med koldings bedste,"Om tirsdagen er der altid fælles træning, og der er mulighed for at komme forbi og prøve det.",Tir. 28. apr. 2026,See description
Tennis 5-8 årige,Udendørstræning: 1. Maj 2022 - 16. September 2022.,Tir. 28. apr. 2026,17.15
The Drama,"Filmen 'The Drama' handler om et lykkeligt par, hvis forhold bliver sat på prøve, da en uventet indrømmelse kommer på bordet. Emma og Charlie elsker hinanden og glæder sig til både bryllup og et liv sammen.",Tir. 28. apr. 2026,17.30
Begynder brydning - 7 til 13 år,"Træningen består af kampleg, akrobatik, koordinationsøvelser samt bryde relaterede øvelser. Her læres at slå de mest basale brydegreb, og under træning får de også mulighed for at bryde rigtigt.",Tir. 28. apr. 2026,17.30
Fodbold alle tirsdage kl. 18.00,"Vi er en flok gamle gutter, der spiller fodbold for sjov, vores ældste mand er 87 år -yngste 38. Vi hedder KIF Oldboys, men langt de fleste har tidligere spillet i andre klubber, flere har aldrig spillet fodbold i en klub før KIF Oldboys.",Tir. 28. apr. 2026,See description
Hold 3 (13 år +),"Vores største hold. Her er plads til både eliten, talenterne, og dem der bare gerne vil have sved på panden og lære at bryde. Teknik træningen slutte kl. 19.30 fra 19.30 til 20.00 er der Open Mat.",Tir. 28. apr. 2026,18.30
Krolf for alle - aften,"Til træning der spiller vi 2-3 runder, vi har i alt 4 forskellige baner man kan komme og prøve. Det man får ud af det er: at møde nye mennesker, hyggeligt socialt samvær, venskaber for alle aldersgrupper. Man skal huske varmt tøj til tider.",Tir. 28. apr. 2026,18.30
De Forbandede År 3 - Fredens pris - Dk. tekster,"Året er 1945. Krigen er endelig slut. Danmark er frit, men splittet. Meget har ændret sig for familien Skov, Karl og Evas ægteskab er tyndslidt, og Eva beslutter at forlade sin mand.",Tir. 28. apr. 2026,See description
Atomkraft i Danmark?,"Med jagten på nye energiformer er spørgsmålet, om det er blevet tid til atomkraft i Danmark.",Tir. 28. apr. 2026,20.30
Meditativ bibellæsning,Fælles læsning og samtale om én af den kommende søndags tekster.,Tir. 28. apr. 2026,See description
Kegler for hele familien,"De fleste har prøvet bowling eller set spillet. Man kan godt sammenligne at spille bowling med kegler. Forskellen på disse 2 spil er, at kuglen er mindre i kegler, og uden huller til fingrene.",Tir. 28. apr. 2026,See description
Seniortræning Bowling,"Til vores bowlingtræninger er den sociale hygge i højsædet. Alle fra begyndere til øvede kan være med, og der mulighed for træningsøvelser eller en dyst mod andre bowlingspillere fra klubben.",Tir. 28. apr. 2026,19.15
Spillet om H2O,,Tir. 28. apr. 2026,19.30
Vores Kim Larsen - Mark & Christoffer,OBS: unummererede siddepladser. Vores Kim Larsen - Mark & Christoffer. m/ gæst Justine Boesen. En akustisk hyldest til Kim Larsens sangskat.,Tir. 28. apr. 2026,19.30
En kage til præsidenten,"Iraks officielle Oscar-kandidat 2026! Vinder af Camera D'Or på Cannes Film Festival. Irak, 1990'erne.",Tir. 28. apr. 2026,19.30
Emma Rawicz & Viridan Trio,Moderne jazz med kant og nærvær fra et af Europas stærkeste unge saxofontalenter.,Tir. 28. apr. 2026,19.30
Grappling og Brazilian jiu-jitsu,Grappling og BJJ for alle niveauer.,Tir. 28. apr. 2026,See description
Lee Cronin's The Mummy,"En ung pige forsvinder sporløst i ørkenen. Otte år senere bliver hendes knuste familie chokeret, da hun vender tilbage til dem. Det, der burde være en glædelig genforening, forvandles til et levende mareridt.",Tir. 28. apr. 2026,21.15
Mavedans for let øvede,Arrangeret af FOF Sydjylland.,Tir. 28. apr. til tir. 23. jun. 2026 9 mødegange,18.30
Guidet tur i Christiansfeld: Verdensarv i særklasse,Velkommen til UNESCO-byen Christiansfeld - en by med en enestående historie. Tag med os på en historisk byvandring gennem de smukke gader i Christiansfeld. Vores guide fortæller dig historier om Brødremenigheden og byens historie.,Ons. 29. apr. 2026 13:30 - 15:00,13:30
Slaget ved Kolding - dramatiseret byvandring,"Karaktererne enkefru Karen Jensen og major Victor Knabstrup tager jer med igennem Koldings gader, mens de mindes de voldsomme gadekampe, de tapre soldater og pressede koldingensere.",Ons. 29. apr. 2026 19:00 - 20:30,19:00
George Michael Xperience - Hyldest til legenden,"For alle George Michael-fans venter der en helt særlig oplevelse: GEORGE MICHAEL XPERIENCE bringer magien, stemmen og stemningen fra den elskede superstjerne tilbage på scenen.",Ons. 29. apr. 2026 19:00 - 21:30,19:00
Flyverhjemmeværnets jubilæumskoncert,"Oplev Flyverhjemmeværnets 70-års jubilæumskoncert i Kirkesalen på Koldinghus. Med sig har orkestret Amalie Dollerup som solist, så der er garanti for en festlig og hyggelig aften!",Ons. 29. apr. 2026 19:00-21:00,19:00
Pubquiz På Knuds garage,"Hver Onsdag kl 20, kan du komme på Knuds Garage og få din paratviden udfordret.",Ons. 29. apr. 2026 20:00 - 23:00,20:00
Motionsgymnastik i Arena Syd VAMDRUP,"Har du lyst til at få rørt hele kroppen og få sved på panden, så er disse timer noget for dig. En gymnastiktime med højt humør og dejlig inspirerende musik. Men pas på, - du bliver hurtig afhængig !!!",Ons. 29. apr. 2026,See description
Pickleball,"Er en ketsjersport, der spilles med en let bold og et paddle (hårdt bat). Pickleball spilles på en bane i badmintonstørrelse, med tennis-lignende net. Der er elementer fra andre ketsjer/ bat spil - som tennis, squash, badminton og bordtennis.",Ons. 29. apr. 2026,See description
Vandgymnastik,"Træning i vand til god musik. Vi træner kroppens center, med fokus på ryg og mave, og bruger vandets modstand til at styrke alle kroppens muskler.",Ons. 29. apr. 2026,See description
Babysalmesang,"Sammen vil vi synge, nynne, danse, vugge, og lytte os igennem velkendte sange og salmer i en afslappet og rolig atmosfære. Vi vil puste sæbebobler og spille på rasleæg, og meget mere. Vi vil bruge vores krop og vores stemme.",Ons. 29. apr. 2026,See description
Børnebiffen - Filmpakke 1 - Fra 5 år,"Ernst på togrejse. Instruktør: Alice de Champfleury. Ernst og mor skal med toget ud af byen på en lille ferie. Inde i toget finder mor deres pladser, og Ernst går ud på gangen og kigger ud af vinduet.",Ons. 29. apr. 2026,See description
Krolf,"Vi spiller krolf fra april til og med juni måned og igen fra august til oktober. Der er køller og bolde til udlån - og vi opfordrer ALLE der har lyst, til at komme og prøve.",Ons. 29. apr. 2026,See description
Petanque,"Kolding KFUM Senioridræt er er forening for senior der kan være aktive om dagen. Alle kan deltage og der lægges stor vægt på det sociale, så der er altid kaffepause. Der er kugle at spille med, så sørg for påklædning der passer til vejret.",Ons. 29. apr. 2026,See description
Let's dance i arena syd vamdrup,"Ved brug af den skønne musik sammen med enkelte dansetrin kommer forbrændingen i vejret og kroppen fyldes med energi - samtidig med at det er sjovt og nemt at lære- Alle kan være med - unge som ældre, mænd og kvinder.",Ons. 29. apr. 2026,10.15
Funktionel / balancetræning,"Funktionel træning fokuserer på naturlige bevægelser, som den menneskelige krop allerede er skabt til at lave. Bevægelser som at løfte, trække, rotere eller skubbe, er bevægelser som vi allerede laver, eller kan få brug for i dagligdagen.",Ons. 29. apr. 2026,10.30
Vandgymnastik i Kongeåbadet VAMDRUP,"Træning i vand til god musik. Vi træner kroppens center, med fokus på ryg og mave, og bruger vandets modstand til at styrke alle kroppens muskler.",Ons. 29. apr. 2026,See description
Mission: Bæver,"Animationsfilmen 'Mission: Bæver' er Disney og Pixars nyeste eventyr, der stiller spørgsmålet: Hvad hvis du kunne tale med dyr og forstå, hvad de siger?",Ons. 29. apr. 2026,11.30
Hopper og det mystiske Murmeldyr,Dybt inde i et hemmeligt bjerg gemmer der sig ifølge gamle legender et mystisk murmeldyr med en helt særlig evne: Det kan skrue tiden tilbage!,Ons. 29. apr. 2026,11.30
Project Hail Mary,I science fiction-filmen 'Project Hail Mary' skal Ryan Gosling redde jordens fremtid ved hjælp af en unik portion videnskab og humor!,Ons. 29. apr. 2026,11.50
De forbandede år 3 - Fredens pris,"Året er 1945. Krigen er endelig slut. Danmark er frit, men splittet. Meget har ændret sig for familien Skov. Karl og Evas ægteskab er tyndslidt, og Eva beslutter at forlade sin mand.",Ons. 29. apr. 2026,See description
Affektionsværdi,"Det norske drama 'Affektionsværdi' følger søstrene Nora (Renate Reinsve) og Agnes (Inga Ibsdotter Lilleaas), som genforenes med deres far Gustav (Stellan Skarsgård) - en førhen ganske feteret instruktør, som drømmer om det store comeback.",Ons. 29. apr. 2026,12.30
Michael,"Filmen 'Michael' skildrer en af de mest indflydelsesrige kunstnere nogensinde, Michael Jackson.",Ons. 29. apr. 2026,12.40
Kom og spil kegler (For alle niveauer - 55+ år),"HUSK indendørssko! Hvordan spiller man kegler?. Man starter med at indtage en ""startstilling"". Denne afhænger af hvilken teknik man bruger. Kaster man med to hænder, stiller man sig med spredte ben hen over linoleumsstykket.",Ons. 29. apr. 2026,See description
Father Mother Sister Brother,"Er den nye, længeventede film fra manuskriptforfatter / instruktør Jim Jarmusch.",Ons. 29. apr. 2026,See description
Super Mario Galaxy Filmen,Here we go. Again! Animationsfilmen 'Super Mario Galaxy Filmen' (The Super Mario Galaxy Movie) er fortsættelsen til Super Mario Bros. Filmen fra 2023 og denne gang bliver eventyret endnu større!,Ons. 29. apr. 2026,14.15
Bueskydning,Vi skyder med bue og pile mod en skive. Det kræver stor koncentration når man skyder. Man kommer til hallen (hal 2 i Pulzion) og bliver mødt af en der tager sig af dig. Du vil blive introduceret for alle så i ved hvem i er.,Ons. 29. apr. 2026,14.20
Rundvisning - Harteværket,"Oplev historien for opførelsen af Danmarks første vandkraftværk, som blev indviet i 1920. En utrolig spændende historie, som også i fremtiden vil have en vigtig rolle for Kolding i forbindelse med de klimatilpasninger, som er forberedt på Harteværket.",Ons. 29. apr. 2026,See description
"Sogneeftermiddag: ""Præstehistorier""","Med Johannes Gjesing - som er sognepræst og har levet sit præsteliv i Sønderjylland begyndende med Halk mod øst og nu Gram og Fole i vest. Han vil med humor fortælle om mennesker, han har mødt, og deres betydning for hans møde med Sønderjylland.",Ons. 29. apr. 2026,See description
I Swear,"I dramaet 'I Swear' fortælles den sande historie om en sand ener, John Davidson.",Ons. 29. apr. 2026,15.15
Tennistræning for juniorer mellem 7 og 17 år,"Gå til tennis hos KIF Tennis og få gratis træning. Nu starter vi igen hold for juniorer - et for 7-11 årige og et for 12-15 årige. Vi har et super godt trænerteam, og et godt fællesskab.",Ons. 29. apr. 2026,See description
Filmlæseklubben: Slottet af Franz Kafka,"Læs bogen ""Slottet"" af Franz Kafka og se filmen ""The Castle"".",Ons. 29. apr. 2026,21.10
De Forbandede År 3 - Fredens pris - Dk. tekster,"Året er 1945. Krigen er endelig slut. Danmark er frit, men splittet. Meget har ændret sig for familien Skov, Karl og Evas ægteskab er tyndslidt, og Eva beslutter at forlade sin mand.",Ons. 29. apr. 2026,16.30
"Ilden, Vandet, Jorden, Luften","Klimaforandringerne er her nu - også i Danmark og i hele Norden. Skovbrande breder sig i Sverige, havene stiger i Danmark, stormene bliver voldsommere på Færøerne, og landskabet skrider i Norge. Naturen giver os tydelige tegn.",Ons. 29. apr. 2026,See description
Linedance/ Absolut Begynder,For dem der aldrig har prøvet før.,Ons. 29. apr. 2026,17.55
Hockey for voksne med særlige behov,"Til hockey er der plads til alle uanset niveau. Efter en god opvarmning, træner vi med hockeystave og puck, hvor vi øver i at skyde til hinanden samt at skyde på mål. Hvis du ikke har prøvet at spille hockey før, skal du nok blive sat ind i reglerne.",Ons. 29. apr. 2026,See description
Menighedsrådsmøde,,Ons. 29. apr. 2026,See description
Brætspilsklubben,"Elsker du brætspil, og mangler du et hyggeligt fællesskab at spille sammen med?",Ons. 29. apr. 2026,20.30
Voksenfritteren,"Er et fællesskab for voksne, der elsker at hygge og være kreative sammen.",Ons. 29. apr. 2026,See description
Forårets temasmagning - Slovenien,,Ons. 29. apr. 2026,17:30
Ungdomstræning,"Badminton i Kolding KFUM Badminton er for alle uanset niveau. Hos os er det vigtigt at have det sjovt når man dyrker motion og sport, derfor er der ingen krav om hverken niveau eller kondition.",Ons. 29. apr. 2026,17.30
Motionsmix,Sjov motionsgymnastik for både damer og herrer. Alle kan deltage uanset alder og skavanker.,Ons. 29. apr. 2026,See description
Linedance / Begynder,For dem der kender lidt til grundtrin.,Ons. 29. apr. 2026,18.05
Karate unge (13+) og voksne,"Hvad er karate?. Karate er først og fremmest selvforsvar! Når vi træner, så passer vi godt på hinanden. Men når man først er lidt øvet, så går vi tæt på hinanden - og man kan godt få et blåt mærke med hjem.",Ons. 29. apr. 2026,18.30
Slutspilskamp HH Elite vs. Viborg,"Vi er nået til 3. slutspilskamp, og denne gang er det Viborg, der kommer på besøg. Sidst vi mødte Viborg på hjemmebane, var det en intens kamp, hvor vi til slut træk fra og fik 2 point med. Vi går selvfølgelig efter det samme denne gang.",Ons. 29. apr. 2026,18.30
Krolf for alle - aften,"Til træning der spiller vi 2-3 runder, vi har i alt 4 forskellige baner man kan komme og prøve. Det man får ud af det er: at møde nye mennesker, hyggeligt socialt samvær, venskaber for alle aldersgrupper. Man skal huske varmt tøj til tider.",Ons. 29. apr. 2026,18.30
The Castle N,Engelske undertekster. With english subtitles. Denne gang skal vi læse 'Slottet' af Franz Kafka.,Ons. 29. apr. 2026,See description
Kolding - FAST TRACK - er du klar til at stoppe med at vente?,Fast track - er du klar til at stoppe med at vente?. Elsker du at stå i kø og vente og vente og vente?. Så er denne aften nok ikke for dig. Men hvis du har lyst til:.,Ons. 29. apr. 2026,21.30
Girls night out - the Devil Wears Prada 2,Onsdag den 29. april kan du opleve Meryl Streep i djævelsk topform til GIRLS NIGHT OUT på 'The Devil Wears Prada 2'!Fortsættelsen til kæmpehittet fra 2006 er en af årets mest hypede film og alle de originale stjerner vender tilbage i de ikoniske roller.Gå.,Ons. 29. apr. 2026,19.30
Filosofisk salon med TÆNKEPAUSE i kirkerummet,"Vi samles øverst i kirkerummet på stole og forreste bænk. Vi har læst en TÆNKEPAUSE (50 letlæste sider om et filosofisk emne/begreb) Vi laver en runde, hvor vi hver især peger på forskellige emner i teksten/emnet, det er spændende at tale om.",Ons. 29. apr. 2026,19.30
George Michael Xperience // Væveriet Kolding,GEORGE MICHAEL XPERIENCE - En uforglemmelig hyldest til en musikalsk legende.,Ons. 29. apr. 2026,See description
Prøvetræning til seniortræning/spil,"Kom og prøv dine kræfter med badminton, hvad enten du er nybegynder eller øvet. Vi starter med fælles opvarming eller lille spil. Vi følger op med evt. træning/øvelse.",Ons. 29. apr. 2026,See description
Linedance / Letøvet,For dem der kender alle grundtrin og har lyst til større udfordringer.,Ons. 29. apr. 2026,20.10
Klassefesten 4 - Venner for livet,"I den danske komedie 'Klassefesten 4 - Venner for livet' er kammeraterne tilbage for fjerde gang! Men, intet er som det plejer!",Ons. 29. apr. 2026,See description
Lee Cronin's The Mummy,"En ung pige forsvinder sporløst i ørkenen. Otte år senere bliver hendes knuste familie chokeret, da hun vender tilbage til dem. Det, der burde være en glædelig genforening, forvandles til et levende mareridt.",Ons. 29. apr. 2026,21.15
The Drama,"Filmen 'The Drama' handler om et lykkeligt par, hvis forhold bliver sat på prøve, da en uventet indrømmelse kommer på bordet. Emma og Charlie elsker hinanden og glæder sig til både bryllup og et liv sammen.",Ons. 29. apr. 2026,21.15
Thomas Fonnesbæk & Justin Kauflin,Jazz gør verden til et bedre sted. Derfor markerer vi den af Herbie Hancock og UNESCO indstiftede International Jazz Day med en koncert med den verdenskendte duo Fonnesbæk & Kauflin. De har forfinet d.,Tor. 30. apr. 2026,See description
Crafternoon Tea,"Er du interesseret i mending, syning & upcycling? Eller måske strik, hækling & broderi?",Tor. 30. apr. 2026 17:00 - 20:00,17:00
Store Bededagsvandring,Tag med på en stemningsfuld aftenvandring på voldene omkring Koldinghus 30. april. Her holder vi traditionen med Store Bededag i hævd og dykker ned i fortællingen om dagen og dens historie.,Tor. 30. apr. 2026 17:00-18:00,17:00
Motionsgymnastik,"Har du lyst til at få rørt hele kroppen og få sved på panden, så er disse timer noget for dig. En gymnastiktime med højt humør og dejlig inspirerende musik. Men pas på, - du bliver hurtig afhængig !!!",Tor. 30. apr. 2026,See description
Styrke/ryg træning,"Her styrkes alle kroppens muskler, så ryggen kan klare hverdagen. Husk måtte.",Tor. 30. apr. 2026,09.30
Krolfspil for senior,"Krolf er et rigtig hyggelig spil, hvor alle kan deltage. Det er en blanding af golf og kroket. Praktisk påklædning efter vejret, gerne kraftige sko eller i regnvejr gummistøvler.",Tor. 30. apr. 2026,09.30
Vandreture,"Ture ud i naturen i omegnen af Kolding med fokus på fællesskab, socialt samvær, motion og gode historier. Der er altid en pause, hvor den medbragte kaffe nydes.",Tor. 30. apr. 2026,09.30
Stavgang,"Der kan som udgangspunkt lånes stave i IFA de første par gange. Der vil hver gang være mulighed for instruktion i stavgangsteknik, ligesom der som regel er mulighed fora t vælge hold med forskellige tempi.",Tor. 30. apr. 2026,11.30
Torsdagscafe,"Billedsprog, fortællinger i ord og billeder, en genvej til sindet. Annette Graversen vil fortælle.",Tor. 30. apr. 2026,See description
Knæ / hoftetræning,"Har du problemer med knæ og hofte, er dette hold noget for dig. Musklerne i benet har sammenhæng med. musklerne i hofte. På holdet arbejdes der med specifik styrketræning til disse muskler. I opstarten vil det.",Tor. 30. apr. 2026,10.15
Let's Dance,"Ved brug af skøn musik til mange forskellige dansearter, sammen med enkelte dansetrin kommer forbrændingen i vejret og kroppen fyldes med energi - samtidig med at det er sjovt og nemt at lære- Alle kan være med - unge som ældre, mænd og kvinder, hvis bare.",Tor. 30. apr. 2026,See description
Mission: Bæver,"Animationsfilmen 'Mission: Bæver' er Disney og Pixars nyeste eventyr, der stiller spørgsmålet: Hvad hvis du kunne tale med dyr og forstå, hvad de siger?",Tor. 30. apr. 2026,11.30
Super Mario Galaxy Filmen,Here we go. Again! Animationsfilmen 'Super Mario Galaxy Filmen' (The Super Mario Galaxy Movie) er fortsættelsen til Super Mario Bros. Filmen fra 2023 og denne gang bliver eventyret endnu større!,Tor. 30. apr. 2026,11.30
Klassefesten 4 - Venner for livet,"I den danske komedie 'Klassefesten 4 - Venner for livet' er kammeraterne tilbage for fjerde gang! Men, intet er som det plejer!",Tor. 30. apr. 2026,See description
Ene & alene (udflugt),Torsdag 30. april kl. 12.00 Tur til Jels Voldsted. Her nyder vi den smukke natur og spiser en let frokost. Slutteligt kaffe og kage.,Tor. 30. apr. 2026,See description
Yoga,"Deltagerne på holdene giver udtryk for, at hele kroppen bliver arbejdet godt igennem i et roligt tempo, at de kommer ud i yderstillinger og bliver mere smidige.",Tor. 30. apr. 2026,12.15
Affektionsværdi,"Det norske drama 'Affektionsværdi' følger søstrene Nora (Renate Reinsve) og Agnes (Inga Ibsdotter Lilleaas), som genforenes med deres far Gustav (Stellan Skarsgård) - en førhen ganske feteret instruktør, som drømmer om det store comeback.",Tor. 30. apr. 2026,12.15
The Devil Wears Prada 2,"""A sequel? For spring? Groundbreaking."". Filmen 'The Devil Wears Prada 2' er fortsættelsen til den elskede film fra 2006, The Devil Wears Prada.",Tor. 30. apr. 2026,12.30
Michael,"Filmen 'Michael' skildrer en af de mest indflydelsesrige kunstnere nogensinde, Michael Jackson.",Tor. 30. apr. 2026,12.40
The Drama,"Filmen 'The Drama' handler om et lykkeligt par, hvis forhold bliver sat på prøve, da en uventet indrømmelse kommer på bordet. Emma og Charlie elsker hinanden og glæder sig til både bryllup og et liv sammen.",Tor. 30. apr. 2026,13.45
Father Mother Sister Brother,"Er den nye, længeventede film fra manuskriptforfatter / instruktør Jim Jarmusch.",Tor. 30. apr. 2026,See description
De forbandede år 3 - Fredens pris,"Året er 1945. Krigen er endelig slut. Danmark er frit, men splittet. Meget har ændret sig for familien Skov. Karl og Evas ægteskab er tyndslidt, og Eva beslutter at forlade sin mand.",Tor. 30. apr. 2026,18.20
Mangafællesskabet,Elsker du manga og anime?,Tor. 30. apr. 2026,See description
Rockmusiksalon,"Uformelle eftermiddage, hvor man lytter til rockmusik i alle afskygninger.",Tor. 30. apr. 2026,15.30
Ungdomstræning for 5-18 årige,"Til vores træninger er timen delt op i 3 sektioner opvarmning/træningsøvelser/bowling & leg. Vi starter med en fælles opvarmning, for at få kroppen igang og klar til træningen.",Tor. 30. apr. 2026,See description
Kolding Børnehøjskole,"På Kolding Børnehøjskole tilbyder vi kurser, hvor børn kan fordybe sig og lære noget om det, som de er sammen om. Vores mål er at gøre verden større for de mindste. Vi tror på, at selv store ting kan skabes i det små, og af de små.",Tor. 30. apr. 2026,See description
Bæredygtig Bogklub,Har du lyst til at mødes med andre og diskutere bæredygtig litteratur?,Tor. 30. apr. 2026,16.30
"Ilden, Vandet, Jorden, Luften","Klimaforandringerne er her nu - også i Danmark og i hele Norden. Skovbrande breder sig i Sverige, havene stiger i Danmark, stormene bliver voldsommere på Færøerne, og landskabet skrider i Norge. Naturen giver os tydelige tegn.",Tor. 30. apr. 2026,See description
Project Hail Mary,I science fiction-filmen 'Project Hail Mary' skal Ryan Gosling redde jordens fremtid ved hjælp af en unik portion videnskab og humor!,Tor. 30. apr. 2026,21.10
U7 mix,En tryg og sjov start på dit barns håndboldeventyr. Medbring sko og tøj man kan bevæge sig i.,Tor. 30. apr. 2026,17.45
Månedens sange i det fri,Kom til Månedens sange i det fri.,Tor. 30. apr. 2026,17.45
Begynderhold,"Som nybegynder eller let øvet, går meget af træningen ud på at indøve de helt basale teknikker som stød, parader, spark og stillinger, samt de grundlæggende japanske termer, der bruges.",Tor. 30. apr. 2026,See description
Cirkus Trapez,"Cirkus Trapez`s 10 års Jubilæumsforestilling - Aldrig Nok. Kære Publikum. Det er med stolthed, at vi i år kan byde velkommen til Cirkus Trapez`s 10 års jubilæum og årets forestilling ""Aldrig Nok"".

  Arrangeret af Cirkus Trapez.",Tor. 30. apr. 2026,18.45
Tennis 5-8 årige,Udendørstræning: 1. Maj 2022 - 16. September 2022.,Tor. 30. apr. 2026,17.15
Begynder brydning - 7 til 13 år,"Træningen består af leg, motorik/akrobatik, koordinationsøvelser samt bryde relaterede øvelser. Her læres at slå de mest basale brydegreb, og under træning får de også mulighed for at bryde rigtigt.",Tor. 30. apr. 2026,17.30
Junior squash for alle 6-16 årige,Mangler din søn eller datter en ny sportsgren?. SÅ ER DET SQUASH! Squash er sjovt for alle aldre - squash er blandt verdens sundeste sportsgrene & squash er motion!,Tor. 30. apr. 2026,17.30
Linedance / Øvet,For dem der kan alle grundtrin og lyst til større udfordringer.,Tor. 30. apr. 2026,17.30
Film & Pizza,,Tor. 30. apr. 2026,17.30
Hold 3 (13 år +),"Vores største hold. Her er plads til både eliten, talenterne, og dem der bare gerne vil have sved på panden og lære at bryde. Teknik træningen slutte kl. 19.30 fra 19.30 til 20.00 er der Open Mat.",Tor. 30. apr. 2026,18.30
Realistisk selvforsvar for alle (9+ år),Vi træner selvforsvar på mix hold tirsdage og torsdage fra kl 18:30 til 20:00 kom ned i kluben og prøv omdet er noget for dig.,Tor. 30. apr. 2026,18.30
Folkeuniversitet: Aktuelle danske bestsellere - med kant,Grav et spadestik dybere ned i dansk litteraturs aktuelle bestsellere sammen med eksperterne.,Tor. 30. apr. 2026,18.30
Vægtløs,"Den 15-årige Lea skal tilbringe sommeren på en sundhedskoloni, hvor hun bliver venner med den spontane og selvsikre Sasha, som Lea både beundrer og spejler sig i.",Tor. 30. apr. 2026,See description
Franz,"Filmen skildrer det gådefulde liv for Franz Kafka, fra hans ungdom i Prag til hans død i 1924. I stedet for at være en traditionel biografi er Franz sat op som en kalejdoskopisk mosaik af drømme, breve, fragmenter fra hans fiktion og historiske episoder.",Tor. 30. apr. 2026,See description
Musikgudstjeneste bededagsaften,,Tor. 30. apr. 2026,See description
Fællesklang,"Er du mellem 18 og 35 år og glad for at synge? Så er Fællesklang Kolding det rytmiske kor for dig - helt uden optagelsesprøve! Fællesklang Kolding er et kor for alle mellem 18 og 35 år, der elsker at synge alt fra pophits og gospel til Disney-klassikere.",Tor. 30. apr. 2026,See description
MIchael Schøt - Jubelpessimist,"Michael Schøt. Jubelpessimist. Det ene øjeblik bider man negle til verdens begivenheder, og det næste øjeblik griner man. i afmagt. Det er præcis i rummet mellem de to følelser, Michael Schøt har befundet sig det.",Tor. 30. apr. 2026,See description
Kegler for hele familien,"De fleste har prøvet bowling eller set spillet. Man kan godt sammenligne at spille bowling med kegler. Forskellen på disse 2 spil er, at kuglen er mindre i kegler, og uden huller til fingrene.",Tor. 30. apr. 2026,See description
Kolding International Voices øver,,Tor. 30. apr. 2026,21.30
Rhythm of the Dance 2026,"Oplev magien, myterne og musikken fra Irland, når Rhythm of the Dance vender tilbage til Danmark i 2026! The National Dance Company of Ireland præsenterer et storslået show fyldt med mesterlig irsk dans, levende musik og spektakulære kostumer.",Tor. 30. apr. 2026,19:30
Kvinder I Sokker og Sandaler,,Tor. 30. apr. 2026,19.30
De Forbandede År 3 - Fredens pris - Dk. tekster,"Året er 1945. Krigen er endelig slut. Danmark er frit, men splittet. Meget har ændret sig for familien Skov, Karl og Evas ægteskab er tyndslidt, og Eva beslutter at forlade sin mand.",Tor. 30. apr. 2026,19.30
Comedy Night m. Thomas Hartmann og Daniel Lill,"Bloom Stage byder på stærk comedy-aften den 30. april. Den 30. april inviterer Bloom Stage til en aften i comedyens tegn, når tre stærke navne inden for dansk stand-up indtager scenen.",Tor. 30. apr. 2026,21.30
Grappling and Brazilian jiu-jitsu,Grappling and BJJ for all skill levels.,Tor. 30. apr. 2026,See description
Open Mic,,Tor. 30. apr. 2026,21:00
Whistle,En gruppe utilpassede og intetanende gymnasieelever falder over en forbandet genstand - en ældgammel aztekisk dødsfløjte.,Tor. 30. apr. 2026,21.10
Pieszak lagersalg,,Tor. 30. apr. til søn. 3. maj 2026,See description
Sammen syr vi Koldingkjolen 2026,"Vær med til at forme årets fællesskabsprojekt på Koldinghus. Til opstartseventet bliver du medskaber af Koldingkjolen 2026: Du får et startkit, en introduktion til ideen bag kjolen og lærer de første sting, så du kan fortsætte arbejdet hjemme.",Tor. 30. apr. til ons. 6. maj 2026 15:30-16:30,15:30
Gudstjeneste: Store Bededag andagt,,Fre. 1. maj 2026,10.15
Mission: Bæver,"Animationsfilmen 'Mission: Bæver' er Disney og Pixars nyeste eventyr, der stiller spørgsmålet: Hvad hvis du kunne tale med dyr og forstå, hvad de siger?",Fre. 1. maj 2026,11.30
Super Mario Galaxy Filmen,Here we go. Again! Animationsfilmen 'Super Mario Galaxy Filmen' (The Super Mario Galaxy Movie) er fortsættelsen til Super Mario Bros. Filmen fra 2023 og denne gang bliver eventyret endnu større!,Fre. 1. maj 2026,11.30
Affektionsværdi,"Det norske drama 'Affektionsværdi' følger søstrene Nora (Renate Reinsve) og Agnes (Inga Ibsdotter Lilleaas), som genforenes med deres far Gustav (Stellan Skarsgård) - en førhen ganske feteret instruktør, som drømmer om det store comeback.",Fre. 1. maj 2026,12.15
The Devil Wears Prada 2,"""A sequel? For spring? Groundbreaking."". Filmen 'The Devil Wears Prada 2' er fortsættelsen til den elskede film fra 2006, The Devil Wears Prada.",Fre. 1. maj 2026,12.30
Michael,"Filmen 'Michael' skildrer en af de mest indflydelsesrige kunstnere nogensinde, Michael Jackson.",Fre. 1. maj 2026,12.40
